FUSION ESP,FUSION VEN,LUGAR NAC,ANOS RES
,1.428571429,1,3
,5.285714286,1,27
,6.714285714,1,25
,7,1,61
,3.142857143,1,18
,1,0,0
,1,0,0
,4.285714286,0,25
,6,1,32
,3.428571429,1,19
,3.857142857,1,17
,1.428571429,0,14
,2.142857143,0,12
,6,1,28
,2.428571429,1,17
,6.142857143,1,40
,2.714285714,1,16
,2,1,37
,5.428571429,1,34
,3.142857143,0,11
,4,0,10
,,0,0
,4.571428571,1,38
,3.857142857,1,28
,1.285714286,0,0
,,0,0
,4.428571429,1,35
,4.571428571,0,23
,6.571428571,1,50
,3.142857143,1,23
,4.571428571,1,33
,2.714285714,1,19
,2,1,25
,5.714285714,0,65
,6.285714286,1,39
,5.285714286,1,39
,6.571428571,1,38
,7,0,54
,,0,0
,5.285714286,1,32
,7,0,64
,6.571428571,1,45
,6.714285714,0,62
,7,1,38
,4.571428571,1,27
,6,0,28
,5.857142857,1,21
,2.571428571,1,9
,2.142857143,1,8
,7,1,48
,5.571428571,1,17
,5.166666667,1,28
,3,1,42
,6,1,26
,3.428571429,1,9
,4.285714286,1,24
4.142857143,,1,40
2.571428571,,1,2
2.571428571,,1,1.4
4.714285714,,1,1.4
5.857142857,,1,21
1.571428571,,0,40
1.571428571,,0,40
2.857142857,,0,39
6.142857143,,0,40
6,,1,17
4.714285714,,1,33
3.571428571,,1,31
7,,0,54
6.714285714,,0,33
5.428571429,,1,16
6.857142857,,1,15
4,,1,15
5.142857143,,1,39
1.285714286,,1,12
5.285714286,,1,14
4.285714286,,0,30
5.285714286,,0,50
#DIV/0!,,0,43
6.285714286,,1,19
5.428571429,,1,30
1.714285714,,0,38
#DIV/0!,,0,36
4.714285714,,1,1
4.428571429,,0,20
6.857142857,,1,14
5.285714286,,1,14
5.428571429,,1,22
4.285714286,,1,21
5.714285714,,1,30
7,,0,13
2.714285714,,1,16
2.285714286,,1,2
5.428571429,,1,20
2.571428571,,0,2
3.285714286,,0,35
6.857142857,,1,17
6.571428571,,0,3
4.857142857,,1,2
6.428571429,,0,3
4.571428571,,1,1
3.857142857,,1,15
7,,0,18
4.428571429,,1,20
6.142857143,,1,40
4.857142857,,1,49
5.714285714,,1,0.5
7,,1,20
3.714285714,,1,23
4.285714286,,1,11
5.571428571,,1,18
5,,1,23
2.142857143,,1,4
